Sample_ID,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
AW3.1.1,52.4004,51.9278,51.9278,24.9897,22.9058,16.2021,13.691,10.9576,16.289,54.5906,367.5626,23.7274,4.7654
AW1.01,2.659,2.6149,2.6149,0.75933,0.6436,0.31012,0.21775,2.3281,5.754,4.3314,11.9556,1.9946,1.6202
AW1.01.1,0.17068,0.16628,0.16628,0.039606,0.030694,0.013255,0.0093557,0.96411,1.4944,0.50617,0.36619,0.75763,0.68791
AW1.1,0.20543,0.20064,0.20064,0.055546,0.045404,0.025351,0.020042,1.1012,1.7063,1.0123,0.77514,0.85841,0.73936
AW1.1.1,0.20492,0.2003,0.2003,0.055167,0.045115,0.024674,0.019281,1.0044,1.5833,0.84233,0.71105,0.79299,0.71582
AW1.45,0.19422,0.18963,0.18963,0.054226,0.04461,0.024707,0.019658,0.93574,1.473,0.75811,0.60683,0.74791,0.66235
AW1.ASW,0.010553,0.010725,0.010725,0.0018856,0.0017162,0.0016594,0.0019675,0.010718,0.031635,0.037363,0.097896,0.016923,0.0051821
AW1.DI,0.0089507,0.0083812,0.0083812,0.0034812,0.0032945,0.0027459,0.0029158,0.0088704,0.023098,0.054246,0.092144,0.020507,0.0037854
AW2.01,0.1003,0.097821,0.097821,0.029116,0.023964,0.012699,0.0095359,0.49927,0.88711,0.36535,0.2187,0.44109,0.34201
AW2.01.1,0.1013,0.09889,0.09889,0.030238,0.025087,0.013891,0.010858,0.45046,0.73841,0.21464,0.21719,0.3752,0.33503
AW2.1,0.18077,0.17788,0.17788,0.077729,0.069681,0.049056,0.042051,0.477,0.80293,0.48623,0.63162,0.41237,0.35139
AW2.45,0.11273,0.11026,0.11026,0.036987,0.031493,0.019067,0.015509,0.43565,0.72556,0.32866,0.3041,0.37501,0.32138
AW2.45.1,0.11387,0.11142,0.11142,0.03838,0.032821,0.020413,0.016944,0.42383,0.70182,0.33654,0.31029,0.36272,0.31258
AW2.ASW,0.0048274,0.0049455,0.0049455,-0.00026041,-0.0004541,-0.00062539,-0.00045597,0.014367,0.038057,0.034244,0.07207,0.018376,0.0081422
AW2.DI,0.0022895,0.0022293,0.0022293,-0.00011469,-0.00016329,-0.00016244,5.92E-05,0.0097994,0.028366,0.056513,0.062268,0.021752,0.0020323
AW3.01,2.9994,2.9655,2.9655,0.92585,0.78993,0.37485,0.2606,1.5132,5.7038,4.2303,19.9434,1.6127,1.0604
AW3.01.1,4.293,4.2202,4.2202,1.2714,1.0882,0.54483,0.40597,1.7285,3.4063,5.7275,19.9999,2.6952,1.1416
AW3.1,3.3076,3.3245,3.3245,3.3992,3.4119,3.4767,3.4028,13.5598,42.4463,10.0871,13.008,13.0942,9.1268
AW3.45,3.3944,3.3851,3.3851,3.3979,3.4083,3.4504,3.2411,56.6573,188.1488,167.6641,64.4594,125.1975,6.4668
AW3.45.1,23.6929,23.422,23.422,9.1218,8.1351,5.0535,4.0044,5.2764,8.391,26.4514,225.7299,11.3963,2.3498
AW3.45.2,32.7437,32.3627,32.3627,12.6203,11.2609,6.9966,5.5713,6.4444,11.5621,34.2132,261.3476,14.6464,3.0368
AW3.45.3,32.4489,32.0726,32.0726,12.4822,11.1292,6.9197,5.5251,6.2925,11.5456,34.4923,223.1085,13.6981,2.8902
AW3.ASW,0.0012714,0.0011863,0.0011863,-0.00023303,-0.00038335,-0.00034942,-7.71E-05,0.010198,0.027426,0.040892,0.081243,0.019417,0.0034806
AW3.DI,0.0056627,0.0057572,0.0057572,-0.00037347,-0.00048354,-0.00050698,-0.00010203,0.0069083,0.028797,0.08092,0.089037,0.028289,0.0018494
AW4.01,3.1815,3.1767,3.1767,1.0184,0.86442,0.4163,0.29427,3.2137,10.0898,10.4287,32.1078,2.7181,2.1769
AW4.01.1,3.5859,3.5179,3.5179,1.0006,0.84336,0.40809,0.29402,2.3099,4.5287,3.6837,15.3432,2.0026,1.6522
AW4.1,3.3048,3.3145,3.3145,3.3707,3.3848,3.4277,3.2488,49.8497,166.5235,94.9566,155.9351,105.7897,34.457
AW4.1.1,25.238,24.9968,24.9968,12.5496,11.585,8.4868,7.2012,6.2411,11.276,28.1398,163.5887,10.7165,3.6851
AW4.45,3.3283,3.3177,3.3177,3.3923,3.4036,3.2072,2.7743,39.1304,182.3987,68.8589,121.7857,102.1528,26.7219
AW4.45.1,20.666,20.4408,20.4408,8.4626,7.5851,4.8959,3.9535,4.6127,9.6341,22.7447,138.7536,8.1997,2.9886
AW4.ASW,0.0017976,0.0016754,0.0016754,-0.00012627,-8.76E-05,-5.42E-05,8.64E-06,0.004322,0.014398,0.032405,0.052056,0.0087283,0.00099927
AW4.DI,0.0090701,0.0089818,0.0089818,0.0016663,0.0015433,0.0014095,0.0014404,0.013055,0.029958,0.082508,0.12744,0.023948,0.0033137
AW5.01,5.4583,5.3605,5.3605,1.5191,1.2809,0.62082,0.44902,3.8718,6.9387,5.655,26.238,3.2017,2.7168
AW5.1,3.4282,3.4124,3.4124,3.3918,3.3932,3.1079,2.7595,46.1358,290.0458,118.2903,221.1557,95.6733,26.7968
AW5.1.1,29.0646,28.8362,28.8362,15.77,14.6691,11.1519,9.7825,8.2281,14.4989,38.7018,191.1388,13.081,5.4072
AW5.45,3.3983,3.3781,3.3781,3.3882,3.3537,2.7088,2.3118,48.9486,122.2724,134.8511,152.8204,126.2827,32.2848
AW5.45.1,26.6474,26.3732,26.3732,12.0395,10.9187,7.4429,6.1954,6.9233,13.3712,34.1587,180.1663,11.4677,4.5069
AW5.ASW,0.0052581,0.0050801,0.0050801,0.0027941,0.0026584,0.0027508,0.002899,0.021468,0.037403,0.104,0.11547,0.039882,0.0026107
AW5.DI,0.0006508,0.00059238,0.00059238,0.0001051,0.00010309,0.00030866,0.0005835,0.0037435,0.016313,0.032182,0.03716,0.012735,0.00016631
OW1.01,3.2912,3.3096,3.3096,3.3965,3.4072,3.4284,3.2078,48.4175,186.1802,114.0805,128.3664,73.7785,31.1777
OW1.01,0.17021,0.16563,0.16563,0.040923,0.032097,0.01482,0.01063,0.93448,1.4585,0.51503,0.37146,0.7329,0.66691
OW1.45,0.18717,0.18247,0.18247,0.051092,0.041803,0.022871,0.01781,0.97065,1.5455,0.93476,0.76054,0.75345,0.67215
OW1.45.1,0.18632,0.18174,0.18174,0.050824,0.041592,0.022738,0.017687,0.9032,1.4127,0.75842,0.61871,0.7159,0.63928
OW1.ASW,0.0066842,0.0064981,0.0064981,0.0013144,0.001103,0.0008958,0.0011579,0.011807,0.033574,0.033249,0.062435,0.020932,0.006289
OW1.DI,0.0060465,0.0056532,0.0056532,0.0017878,0.0015649,0.0013236,0.0015134,0.012253,0.036516,0.055196,0.054527,0.018814,0.0057714
OW2.01,0.099623,0.097277,0.097277,0.02944,0.02434,0.013425,0.010633,0.4844,0.94142,0.33912,0.25741,0.41277,0.34743
OW2.01.1,0.11062,0.10812,0.10812,0.03607,0.030532,0.018216,0.014892,0.44499,0.73361,0.23273,0.2467,0.36642,0.33395
OW2.1,0.1035,0.10106,0.10106,0.033419,0.02834,0.016926,0.013443,0.43815,0.80407,0.37981,0.3468,0.39009,0.31046
OW2.1.1,0.10308,0.1008,0.1008,0.033452,0.028336,0.016977,0.013537,0.4136,0.69231,0.3375,0.28915,0.34808,0.30522
OW2.1.2,0.10423,0.10196,0.10196,0.034633,0.029552,0.018128,0.014748,0.40888,0.67713,0.33359,0.28814,0.34521,0.30149
OW2.45,0.12019,0.11769,0.11769,0.041765,0.035873,0.022485,0.018555,0.42708,0.71519,0.35907,0.31873,0.35907,0.31487
OW2.ASW,0.0022441,0.0022459,0.0022459,-0.00080964,-0.00090417,-0.00093211,-0.00081527,0.0092156,0.027865,0.020463,0.037241,0.013855,0.0045428
OW2.DI,0.00053574,0.00047081,0.00047081,-0.00058763,-0.00066165,-0.00060021,-0.00047802,0.0047361,0.023154,0.032735,0.044902,0.010552,0.00053539
OW3.01,3.1423,3.1252,3.1252,1.03,0.87733,0.41114,0.28443,0.17192,0.802,0.7079,2.331,0.31412,0.1162
OW3.01.1,3.7548,3.6813,3.6813,1.077,0.91457,0.44044,0.32333,1.4007,2.6825,3.7088,16.4925,1.4346,0.96374
OW3.1,3.4035,3.4006,3.4006,3.4167,3.4302,3.4992,3.4214,56.4477,306.7436,116.6991,133.9723,129.9871,19.156
OW3.1.1,55.9511,55.4142,55.4142,26.0273,23.7694,16.6155,13.9733,11.4793,17.2592,54.4955,418.6143,23.9223,4.9858
OW3.45,3.3594,3.3331,3.3331,3.4059,3.4177,3.466,3.2802,43.3708,244.9742,158.2805,226.1111,103.1447,15.1188
OW3.45.1,35.4695,35.071,35.071,13.5261,12.0362,7.4201,5.8901,6.41,11.6897,33.2025,234.8937,13.7869,2.9106
OW3.ASW,0.0094717,0.009446,0.009446,0.00091824,0.00078964,0.00083219,0.0010709,0.033613,0.21312,0.19384,0.21628,0.054636,0.0081756
OW3.DI,,0.47285,0.47285,0.0016844,0.0019037,0.0030286,0.0029017,0.035745,0.21245,0.089404,0.35606,0.060881,0.0026676
OW4.01,3.315,3.3005,3.3005,1.1895,1.0091,0.47947,0.33545,3.0749,12.5259,13.0528,43.2337,4.1629,2.0751
OW4.01.1,4.2891,4.2201,4.2201,1.194,1.0119,0.4815,0.34229,2.284,4.4692,4.3938,18.3808,2.0259,1.6296
OW4.1,23.4503,23.2408,23.2408,11.6837,10.7638,7.8453,6.7351,7.3366,12.2038,34.6786,209.2643,13.151,4.3116
OW4.1.1,21.8912,21.6846,21.6846,10.8517,9.9722,7.2877,6.2336,6.8722,11.5001,30.3297,188.7914,11.8781,4.144
OW4.45,3.4018,3.3948,3.3948,3.4172,3.4256,3.2584,2.8424,38.6816,294.4427,327.8369,212.8791,138.0179,28.2507
OW4.45.1,20.6361,20.4047,20.4047,8.4648,7.6057,4.919,3.986,5.2923,10.2745,26.7033,172.4899,9.9261,3.3293
OW4.ASW,0.0028182,0.0029057,0.0029057,-0.00044721,-0.00046203,-0.00025456,-2.45E-05,0.0095512,0.019158,0.023051,0.056911,0.016123,0.0024067
OW4.DI,0.0018255,0.0020305,0.0020305,-0.00021948,-0.00019438,1.66E-05,0.00021075,0.003827,0.014423,0.025286,0.036086,0.010526,-0.00064713
OW5.01,3.182,3.1504,3.1504,0.98543,0.83466,0.39367,0.27218,2.5432,9.5352,6.7613,19.9204,2.8664,1.5996
OW5.01.1,3.6762,3.612,3.612,0.99193,0.83653,0.39579,0.28126,2.0099,3.6533,4.1379,17.3293,1.7717,1.3886
OW5.1,3.3762,3.3693,3.3693,3.3949,3.3958,3.1256,2.7778,48.2731,271.8145,71.0123,215.9655,98.8811,24.1255
OW5.1.1,14.4132,14.3008,14.3008,7.842,7.2865,5.5184,4.8491,4.0481,7.0535,20.7926,93.2386,7.2404,2.6014
OW5.45,3.3933,3.3604,3.3604,3.3703,3.3454,2.7425,2.3457,41.334,117.9075,75.6809,129.5713,67.9792,26.4701
OW5.45.1,13.5128,13.3756,13.3756,6.1564,5.5861,3.7921,3.1589,3.5604,6.6289,17.5792,93.1602,5.9347,2.2988
OW5.ASW,0.003784,0.0035403,0.0035403,0.0019333,0.0018579,0.0019167,0.0022184,0.015868,0.028454,0.10967,0.11113,0.033646,0.003003
OW5.DI,0.00025518,0.00043641,0.00043641,0.00026391,0.0002827,0.0006549,0.0011124,0.0037826,0.0090072,0.00756,0.021543,0.0055346,-0.00069269
OW1.1,0.20686,0.20227,0.20227,0.062204,0.052319,0.031248,0.025114,0.94126,1.5992,1.09,1.021,0.73796,0.6672
OW1.1.1,0.20656,0.20201,0.20201,0.062045,0.052286,0.031519,0.025303,0.91173,1.4464,1.0437,0.86067,0.72952,0.6472
PostTea01Mar24,0.17871,0.18401,0.18401,0.05687,0.044673,0.013851,0.010738,0.2287,0.41565,0.80284,0.74968,0.30259,0.048699
PostTea29Feb24,0.17465,0.17995,0.17995,0.056926,0.045107,0.014919,0.011873,0.22489,0.3073,0.71568,0.74594,0.31389,0.045084
PostTea11Mar24,0.16831,0.17368,0.17368,0.053011,0.042108,0.016094,0.013116,0.19295,0.34247,0.71978,0.6995,0.27009,0.049469
PostTea12Mar24,0.18491,0.1909,0.1909,0.059289,0.046601,0.015196,0.012024,0.24572,0.28742,0.80196,0.81926,0.31558,0.057646
PostTea28Mar24,0.16999,0.17542,0.17542,0.054655,0.043275,0.014079,0.010847,0.22547,0.35572,0.81058,0.79011,0.33374,0.057325
PreTea01Mar24,0.16988,0.17494,0.17494,0.053882,0.042425,0.01295,0.0097795,0.22992,0.34327,0.76499,0.75874,0.29573,0.04738
PreTea11Mar24,0.16294,0.16857,0.16857,0.051219,0.040537,0.014762,0.011929,0.2035,0.32309,0.7677,0.67418,0.285,0.038861
PreTea12Mar24,0.16812,0.17345,0.17345,0.05378,0.042398,0.013565,0.010294,0.57186,0.36575,0.68089,0.73218,0.2994,0.057488
PreTea07Mar24,0.16411,0.1693,0.1693,0.050818,0.040149,0.014231,0.011258,0.19126,0.27863,0.73684,0.79078,0.27272,0.034674
PreTea28Feb24,0.17024,0.17523,0.17523,0.054485,0.043019,0.013323,0.010151,0.19721,0.18093,0.64371,0.64451,0.24544,0.044753
PreTea28Mar24,0.17053,0.17603,0.17603,0.054565,0.043103,0.013693,0.010493,0.21747,0.46359,0.76639,0.72602,0.30538,0.043289
PreTea29Feb24,0.17629,0.18158,0.18158,0.056793,0.044972,0.014835,0.011598,0.22113,0.35969,0.72423,0.78119,0.31999,0.056066
