sample_name,a254_corrected,Treatment,Wash,Fraction,Group
AW4.1,24.99478207,AW,4,1,AW 1
AW4.45,20.43878647,AW,4,0.45,AW 0.45
AW4.01,3.515897558,AW,4,0.1,AW 0.1
OW4.1,21.68258337,OW,4,1,OW 1
OW4.45,20.40268595,OW,4,0.45,OW 0.45
OW4.01,4.218096565,OW,4,0.1,OW 0.1
AW3.1,51.92574549,AW,3,1,AW 1
AW3.45,32.36067763,AW,3,0.45,AW 0.45
AW3.01,4.218196761,AW,3,0.1,AW 0.1
OW3.1,55.41216195,OW,3,1,OW 1
OW3.45,35.06897769,OW,3,0.45,OW 0.45
OW3.01,3.679296911,OW,3,0.1,OW 0.1
AW2.1,0.175879105,AW,2,1,AW 1
AW2.45,0.109419384,AW,2,0.45,AW 0.45
AW2.01,0.096889784,AW,2,0.1,AW 0.1
OW2.1,0.099958243,OW,2,1,OW 1
OW2.45,0.115689249,OW,2,0.45,OW 0.45
OW2.01,0.106119864,OW,2,0.1,OW 0.1
AW1.1,0.198298929,AW,1,1,AW 1
AW1.45,0.187629416,AW,1,0.45,AW 0.45
AW1.01,0.164279912,AW,1,0.1,AW 0.1
OW1.1,0.200008759,OW,1,1,OW 1
OW1.45,0.179739301,OW,1,0.45,OW 0.45
OW1.01,3.307586513,OW,1,0.1,OW 0.1
OW5.1,14.29878505,OW,5,1,OW 1
OW5.45,13.37358521,OW,5,0.45,OW 0.45
OW5.01,3.609994195,OW,5,0.1,OW 0.1
AW5.1,28.83418527,AW,5,1,AW 1
AW5.45,26.37118786,AW,5,0.45,AW 0.45
AW5.01,5.358497218,AW,5,0.1,AW 0.1
AW1.DI,0.0083812,AW,1,Blank,AW Blank
AW3.DI,0.003757188,AW,2,Blank,AW Blank
AW2.DI,0.000229218,AW,3,Blank,AW Blank
AW4.DI,0.006981747,AW,4,Blank,AW Blank
AW5.DI,0.00059238,AW,5,Blank,AW Blank
OW1.DI,0.00047081,OW,1,Blank,OW Blank
OW2.DI,0.003653107,OW,2,Blank,OW Blank
OW3.DI,0.470849982,OW,3.00E+00,Blank,OW Blank
OW4.DI,3.04301E-05,OW,4.00E+00,Blank,OW Blank
OW5.DI,0.00043641,OW,5,Blank,OW Blank
OW1.ASW,0.0064981,OW,1,Blank,OW Blank
AW1.ASW,0.010725,AW,1,Blank,AW Blank
OW2.ASW,0.000245807,OW,2,Blank,OW Blank
AW2.ASW,0.002945488,AW,2,Blank,AW Blank
OW3.ASW,0.007445982,OW,3,Blank,OW Blank
AW3.ASW,-0.000813782,AW,3,Blank,AW Blank
OW4.ASW,0.00090563,OW,4,Blank,OW Blank
AW4.ASW,-0.000324653,AW,4,Blank,AW Blank
OW5.ASW,0.0035403,OW,5,Blank,OW Blank
AW5.ASW,0.0050801,AW,5,Blank,AW Blank
