Short_ID,Result_TC,,,
0.A.6,7.382,,,
0.C.6,3.394,,,
0.B.6,6.708,,,
0.C.5,7.339,,,
0.B.5,7.836,,,
0.A.5,7.763,,,
0.C.4,7.133,,,
0.A.4,8.001,,,
0.B.4,8.719,,,
01.B.6,7.426,,,
01.A.6,6.728,,,
01.C.6,3.768,,,
01.A.5,8.415,,,
01.B.5,7.893,,,
01.C.5,7.536,,,
01.B.4,9.235,,,
01.A.4,9.476,,,
01.C.4,9.671,,,
1.C.6,4.214,,,
1.B.6,7.246,,,
1.A.6,7.81,,,
1.B.5,9.973,,,
1.A.5,11.23,,,
1.C.5,9.6,,,
1.C.4,13.02,,,
1.A.4,12.58,,,
1.B.4,14.28,,,
5.A.6,9.712,,,
5.B.6,8.254,,,
5.C.6,7.631,,,
5.B.5,12.37,,,
5.C.5,12.24,,,
5.A.5,12.43,,,
5.C.4,16.14,,,
5.A.4,17.7,,,
5.B.4,17.13,,,
25.A.6,12.33,,,
25.B.6,11.69,,,
25.C.6,11.28,,,
25.B.5,17.96,,,
25.A.5,19.31,,,
25.C.5,16.21,,,
100.C.6,6.741,,,
100.B.6,14.72,,,
100.A.6,14.54,,,
100.B.5,20.15,,,
100.C.5,18.91,,,
100.A.5,22.63,,,
25.A.4,27.54,,,
25.B.4,25.62,,,
25.C.4,26.14,,,
100.B.4,28.34,,,
100.A.4,32.45,,,
100.C.4,28.05,,,
0.C.3,13.22,,,
5.B.3,26.66,,,
0.A.2,13.69,,,
100.A.2,3.501,,,
100.B.1,8.141,,,
100.C.2,3.996,,,
100.C.1,8.606,,,
100.B.2,3.786,,,
100.A.1,8.131,,,
25.A.1,7.645,,,
25.B.2,3.751,,,
25.C.2,4.091,,,
25.C.1,6.962,,,
25.A.2,4.026,,,
5.A.1,5.171,,,
5.B.1,6.608,,,
5.C.1,5.01,,,
5.B.2,12.87,,,
5.A.2,13.65,,,
5.C.2,13.78,,,
1.C.1,6.101,,,
1.B.1,5.331,,,
1.A.2,17.23,,,
1.C.2,16.57,,,
1.B.2,16.65,,,
01.B.1,12.29,,,
01.A.1,11.87,,,
01.C.1,11.56,,,
0.A.1,19.11,,,
0.C.1,17.44,,,
0.B.1,18.81,,,
01.A.2,18.02,,,
01.B.2,17.92,,,
01.C.2,17.77,,,
0.B.2,18,,,
0.A.2,14.15,,,
0.C.2,13.4,,,
01.B.3,16.31,,,
01.A.3,16.32,,,
01.C.3,15.79,,,
0.C.3,13.05,,,
0.A.3,12,,,
0.B.3,12.96,,,
1.A.3,24.75,,,
1.C.3,22.59,,,
1.B.3,22.75,,,
5.B.3,27.64,,,
5.A.3,27.59,,,
5.C.3,28.83,,,
25.B.3,32.45,,,
25.A.3,30.41,,,
25.C.3,30.87,,,
100.B.3,27.62,,,
100.A.3,28.2,,,
100.C.3,27.68,,,
